n,route_1,route_2,"الترجيح الآلي","الحكم الفني"
1,Equipments/equipments.php,Equipments/equipments_fleet.php,"يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر","وظيفةٌ واحدة: سجلُ المعدات نفسُه بعرضين (نفس الجداول supplierscontracts·equipments·operations؛ نسخة الأسطول أخف 29 خلية مقابل 66) — يصلح دمجٌ بمنظرين، والقرار للمالك"
2,Procurement/dashboard_proc.php,Procurement/warehouse_board.php,"يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر","وظيفتان مستقلتان: مؤشرات المشتريات من proc_request·proc_issue مقابل لوحة أمين المستودع من proc_item·proc_receipt_custody·proc_custody — جداول وأسئلة مختلفة، وأرفض ترجيحَ الدمج"
3,Contracts/unit_statement_client.php,Suppliers/unit_statement_supplier.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","زاويتا نظرٍ لبياناتٍ واحدة: كلاهما من v_monthly_performance — الأول بنطاق العميل والثاني بنطاق المورد مع settlements — يبقيان كشفين نطاقيين"
4,Governance/guards.php,Settings/guard_classification.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مرتبطتان مختلفتا الجدول: عرضٌ حوكميٌّ من cmp03_screen_rows مقابل محررٍ يكتب guard_policies — لا دمج، ويلزم تفريقُ الاسم"
5,Risk/risk_dept_sal.php,Governance/gov_dept_sal.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: حاملتا مكوّنين مختلفين لإدارةٍ واحدة — مساحة المخاطر (risk_*) مقابل حوكمة الإدارة (سجل الحوكمة) — البيانات مختلفة"
6,Operations/site_gate_equip.php,Operations/site_gate_person.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفةٌ واحدة على كيانين: أذونُ دخولٍ وخروجٍ بنمط SCR-DES نفسِه — الكيانُ معدةٌ مقابل شخص؛ تصلحان مكوّنًا واحدًا بمرشّح كيان، والقرار للمالك"
7,Clients/contract_commitments.php,Contracts/contract_obligations.php,"يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر","وظيفتان مستقلتان: جدولان مختلفان — contract_commitments لجاهزية البيع (S-05) مقابل contract_obligations لمصفوفة التزامات التنفيذ (CON-02) — تشابهُ الاسم خادع، وأرفض ترجيحَ الدمج"
8,Procurement/dashboard_proc.php,Transport/transfer_dashboard.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: وحدتان مختلفتان — مشتريات (proc_*) مقابل متابعة الرحلات (transfer_orders·trs_locations)"
9,Procurement/receipt_custody_proc.php,Procurement/wh_receipt.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","زاويتا نظرٍ لبياناتٍ واحدة: كلاهما على proc_receipt_custody/line — الأولى الدورةُ الكاملة (stock_move · مزامنة أمر/استلام) والثانية عرضُ ما قبل الإدخال"
10,emsreports/index.php,Governance/gov_reports.php,"يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر","وظيفتان مستقلتان: مركزُ التقارير الذكي العام مقابل تقارير الحوكمة التسعة (cmp03_screen_rows·sod_conflicts) — أرفض ترجيحَ الدمج"
11,Procurement/warehouse_board.php,Transport/transfer_dashboard.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: مستودع (proc_*) مقابل نقل (transfer_*)"
12,Maintenance/dashboard_mnt.php,Procurement/dashboard_proc.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: لوحتا دورين — صيانة (mnt_*) مقابل مشتريات (proc_*)؛ التشابه قالبيٌّ فقط"
13,Maintenance/dashboard_mnt.php,Procurement/warehouse_board.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: صيانة (mnt_*) مقابل مستودع (proc_item·custody)"
14,Timesheet/timesheet_type.php,Timesheet/timesheet.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","مرحلتان متتاليتان لعمليةٍ واحدة: بوابةُ اختيار التصنيف ثم شاشةُ الإدخال (unit_entries·timesheet) — ليستا ازدواجًا ولا تُدمجان"
15,Suppliers/supplierscontracts.php,Suppliers/shares_coverage.php,"يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر","وظيفتان مستقلتان: سجل عقود الموردين مقابل الحصص والتغطية المشتقة من capacity_consumption_ledger·op_containers — علاقةُ تغذيةٍ لا ازدواج، وأرفض ترجيحَ الدمج"
16,FinRequests/finance_gateway.php,FinRequests/requests_reports.php,"يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر","زاويتا نظرٍ لنفس fin_requests: صندوقُ عملٍ بحالةٍ مشتقة مقابل تقارير قراءةٍ خالصة — يبقيان"
17,Suppliers/supplier_contract_lines.php,Suppliers/supplierscontracts.php,"يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر","رأسٌ وبنود لعقد المورد: وظيفتان متكاملتان لا ازدواج — أرفض ترجيحَ الدمج"
18,Operations/unit_perf.php,Operations/monthly_close.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: تقريرُ الأداء الشهري مقابل فعلِ الإقفال الشهري — ورقتان مختلفتان في CMP-03"
19,Finance/cfo_daily_board_fin.php,Procurement/warehouse_board.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: لوحةُ المدير المالي (fin_*) مقابل لوحة المستودع (proc_*)"
20,Finance/cfo_daily_board_fin.php,Procurement/dashboard_proc.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: مالية (fin_*) مقابل مشتريات (proc_*)"
21,Approvals/hours_approval.php,Finance/approvals_inbox.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان بعلاقة احتواء: شاشةُ اعتماد الساعات الهرمية (timesheet_approvals) مقابل الصندوق الموحد (M-42) الذي يجمع المداخل — لا ازدواج"
22,Portal/ceo_approvals.php,Portal/ceo_board.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","زاويتا عمل: صندوقُ فعلِ الاعتماد (exec_approvals) مقابل اللوحة الشاملة التي تعرضه ضمن عشرة مصادر — يبقيان"
23,Contracts/client_statement.php,Contracts/unit_statement_client.php,"يُرجَّح: وظيفتان مستقلتان — يلزم تصديق","وظيفتان مستقلتان: كشفُ الحساب بطبقاته (مستخلصات·فواتير·سداد) مقابل كشف وحدات الأداء من v_monthly_performance — يلزم تفريقُ الاسم (حساب/وحدات)"
24,Workforce/op_monthly.php,Operations/unit_perf.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: كيانان مختلفان — أداءُ المشغّل مقابل أداء الوحدة"
25,Governance/gov_dept.php,Governance/gov_dept_sup.php,"يُرجَّح: وظيفتان مستقلتان — يلزم تصديق","زاويتا نظرٍ لمكوّنٍ واحد: مدخلٌ عامٌّ يقرأ الإدارةَ من المعامل مقابل حاملٍ نطاقيٍّ ثابتٍ للموردين — توحيدُهما عبر المدخل العام وارد، والقرار للمالك"
26,Finance/budget_form_fin.php,Finance/budget_dept.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","زاويتا نظرٍ لبياناتٍ واحدة: نفس fin_budgets·fin_budget_lines — المالية ترى الكل والإدارةُ تقريرٌ بفلتر النطاق (رأسُ الشاشة يقولها نصًّا)"
27,Portal/ceo_risk.php,Risk/risk_board.php,"يُرجَّح: وظيفتان مستقلتان — يلزم تصديق","وظيفتان مستقلتان: قراراتٌ عليا تُكتب (exec_decisions) مقابل لوحةِ قراءةٍ لسجل المخاطر (risk_register)"
28,Projects/sites.php,Transport/trs_locations_config.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: مواقعُ التنفيذ التعاقدية (sites·contracts) مقابل إعداد مواقع النقل (قاعدة/ورشة/مكتب) بجدولٍ مستقل — يلزم تفريقُ الاسم"
29,Employees/equipment_operators.php,Workforce/op_codes.php,"يُرجَّح: وظيفتان مستقلتان — يلزم تصديق","وظيفتان مستقلتان: سجلُ المشغّلين CRUD مقابل أداة الأرقام الشاغرة"
30,Reports/reports.php,emsreports/index.php,"يُرجَّح: وظيفتان مستقلتان — يلزم تصديق","وظيفتان اليومَ بازدواجِ اسمٍ حقيقي: مجمّعُ ساعاتٍ قديم (timesheet·operations) مقابل المركز الذكي — المصفوفة فرّقتهما (— التنفيذية / — الحوكمة) والثاني PENDING_DEDUP: القرار النهائي للمالك"
31,Transport/transfer_orders_list.php,Transport/transfer_tariffs.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: قائمةُ الأوامر مقابل التعرفة والتسعير"
32,FinRequests/routing_admin.php,FinRequests/finance_gateway.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: إعدادُ التوجيه (تفعيل الإدارات والأدوار) مقابل صندوق العمل اليومي"
33,Audit/iaf_charter.php,Portal/ceo_audit_reports.php,"يُرجَّح: وظيفتان مستقلتان — يلزم تصديق","وظيفتان مستقلتان: الميثاق (وثيقة مولّدة u13) مقابل تقارير المراجعة للرئيس"
34,Suppliers/rfq_requests.php,Procurement/rfq_compare_award.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","مرحلتان متتاليتان في دورة RFQ: طلبُ العروض وتجميعُها ثم المقارنةُ والترسية (rfq_awards تُكتب في الثانية) — لا ازدواج"
35,Maintenance/dashboard_mnt.php,Transport/transfer_dashboard.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: صيانة (mnt_*) مقابل نقل (transfer_*)"
36,Risk/risk_units.php,Risk/risk_settings.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","زاويتا نظرٍ لبياناتٍ واحدة: نفس risk_units·risk_kris — إدارةُ الوحدات (الشاشة ٣) مقابل عرض الإطار الحاكم (الشاشة ١٧ في M-16)"
37,Contracts/contracts.php,Contracts/contract_lines.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","رأسٌ وبنود: عقدُ العميل وآلةُ حالته مقابل بنوده (P-02) — وظيفتان متكاملتان لا ازدواج"
38,Reports/reports.php,Portal/ceo_reports.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: مجمّعُ ساعاتٍ مقابل التقارير التنفيذية الثمانية (M-00 §12)"
39,Risk/risk_controls.php,Risk/risk_control_verify.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","مرحلتان: تعريفُ الضوابط ثم التحققُ بالأدلة (risk_control_evidence·risk_control_links) — لا ازدواج"
40,emsreports/index.php,Governance/tech_gov_center.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: مركزُ تقارير مقابل مركز الحوكمة التقني (gov_orphan_links) — وجهتان مختلفتان"
41,Employees/employee_contracts.php,Employees/employees.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: عقودُ الموظفين (employee_contracts·pay_models) مقابل السجل الرئيسي employees"
42,Suppliers/supplierscontracts.php,Suppliers/suppliers.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: كيانان — عقودُ الموردين مقابل سجل الموردين"
43,Suppliers/supplierscontracts.php,Suppliers/supplier_closure.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: السجلُ مقابل تصفيةِ الإنهاء (M-18 · supplier_contract_closures)"
44,Finance/operator_pay_policies_fin.php,Employees/equipment_operators.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: سياساتُ المستحقات (contract_hour_policies) مقابل سجل المشغّلين"
45,Contracts/contracts.php,Clients/clients.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: كيانان — العقود مقابل العملاء"
