الرمز	العيب	الخطورة	الشاهدُ المرصود	السبب	المالك	دليلُ الإغلاق
UI-DEF-01	المسمّى الوظيفيُّ يعرض اسمَ الشخصِ بدل المسمّى	حرجة	ظهر في ستِّ شاشاتٍ بصفةِ «الإدارة التنفيذية» وصحيحًا بصفةِ «مسؤول التشغيل»	عيبُ ربطِ حقلٍ لا عيبُ تصميم	الحوكمةُ ومكتبُ الهندسة	الحقلُ يعرض المسمّى في كل الصفاتِ الـ27
UI-DEF-02	عدّادُ العقودِ يعرض صفرًا واللوحةُ فيها ٢٥٠ عقدًا	◆ حرجة	لوحةُ الرئيسِ تعرض العملاءَ والمشاريعَ والمستخدمينَ والعقودَ صفرًا · وشاشةُ العقودِ تعرض ٢٥٠	◆ استعلامٌ مكسورٌ لا نطاقٌ خاطئ — ويضرب الثقةَ في كل رقمٍ آخر	المالكُ الوظيفيُّ للوحة	العدّادُ يطابق الجدولَ المصدرَ في كل نطاق
UI-DEF-03	عدّادٌ أكبرُ من مقامِ بياناتِه المحتمل	عالية	«٤٨٧٤٦ وحدةً تنتظر الاعتماد» وإجماليُّ الوحداتِ في القاعدةِ ٤٨٥٢٥	إما يعدّ شيئًا آخرَ أو أحدُهما خطأ — ولا مقامَ معلَنًا	مكتبُ الهندسة	كلُّ عدّادٍ يذكر مقامَه ومصدرَه بحسب التصنيف الخماسي
UI-DEF-04	الجدولُ يبلغ صفرَ أعمدةٍ بعد «إخفاء الكل»	عالية	بقي عمودان فقط والحالةُ حُفظت — والمستخدمُ يرى جدولًا فارغًا لا يعرف سببَه	لا حارسَ يمنع إخفاءَ كلِّ الأعمدة	فريقُ الواجهة	UI-06 يمنع النزولَ تحت حدٍّ أدنى ويبيّن السبب
UI-DEF-05	تكرارُ عناصرَ في السايدبار	متوسطة	«للخاطر والقرارات العليا» و«للخاطر التجارية» ظهر كلٌّ مرتين	◆ خطأُ توليدٍ لا يكشفه فاحصُ التنقل	مكتبُ الهندسة	فاحصُ التنقلِ يكشف التكرارَ ويوقف التوليد
UI-DEF-06	رسالةُ حوكمةٍ تظهر في شريط العنوانِ ولا تُعرض في الشاشة	متوسطة	«الشاشةُ غيرُ مسجَّلة — فلا تُمنح صلاحيتُها لأحد» تُمرَّر في الرابط	الحكمُ ضاع — والمستخدمُ لا يراه	فريقُ الواجهة	UI-13 يعرضها في الشاشةِ وصفرُ رسالةٍ في الرابط
UI-DEF-07	الرسمُ يعرض محاورَ افتراضيةً بلا بيانات	عالية	«مسارُ الأداء اليومي» من ‎−١ إلى ١ بخطٍّ مسطحٍ عند الصفر	سلوكٌ افتراضيٌّ للمكتبةِ يبدو خللًا	فريقُ الواجهة	UI-17: لا رسمَ بلا بياناتٍ — بل حالةٌ فارغةٌ مفسَّرة
UI-DEF-08	أصفارٌ عملاقةٌ بدل حالةٍ فارغة	عالية	«٠٠» بحجمٍ ضخمٍ في أربعِ بطاقاتٍ على مساحةٍ برتقاليةٍ واسعة	يبدو خللًا أو نائبَ محتوًى لا حالةً محكومة	فريقُ الواجهة	UI-11 يعرض السببَ والإجراءَ لا رقمًا
UI-DEF-09	اللونُ المؤسسيُّ يملأ ولا يوجّه	عالية	البرتقاليُّ يملأ الترويسةَ والفلاترَ والبطاقاتِ ونصفَ اللوحة	يلغي التسلسلَ البصريَّ ويضعف دلالاتِ الخطرِ والنجاح	فريقُ التصميم	الواجهةُ محايدةٌ والمؤسسيُّ لونُ تمييزٍ محدود
UI-DEF-10	لا شبكةَ محاذاةٍ ولا سلّمَ مسافات	عالية	بطاقاتٌ متفاوتةٌ وفراغاتٌ بلا وظيفةٍ وعناصرُ من خطوطٍ مختلفة	الصفحاتُ لا تتبع شبكةً ولا سلّمًا موحَّدًا	فريقُ التصميم	AS-07: شبكةُ اثني عشرَ وسلّمُ مسافاتٍ من ٤
UI-DEF-11	الخطوطُ والأرقامُ والتواريخُ غيرُ متسقة	متوسطة	أحجامٌ متعددةٌ · وتاريخٌ إنجليزيٌّ في واجهةٍ عربيةٍ · وأرقامٌ مختلطة	لا سلّمَ خطوطٍ موحَّدًا ولا حكمًا للأرقامِ والتقويم	فريقُ التصميم	أحدَ عشرَ نمطًا · والغربيةُ للتخزينِ والميلاديُّ للحساب
UI-DEF-12	بطاقاتُ المؤشراتِ بلا فترةٍ ولا وحدةٍ ولا تعمّق	عالية	رقمٌ واحدٌ في الوسطِ بلا مقارنةٍ ولا اتجاهٍ ولا مصدر	الرقمُ وحدَه ليس قرارًا	المالكون الوظيفيون	UI-07 بحقوله السبعةِ إلزامًا
◆	الحكم	—	لا يقتصر الفحصُ على الاثني عشرَ — بل تدقيقٌ بصريٌّ كاملٌ بقائمةِ الفحصِ المعتمدة	—	فريقُ الواجهة	تقريرُ تدقيقٍ يغطي كلَّ شاشةٍ مؤهَّلة
