الرمز	الموضوع	حالةُ الحسم	الحكمُ النافذُ الآن	السببُ المهني	ما يبقى للمالك
◆ القراراتُ الحرجةُ الأربعة					
CR-01	نمذجةُ حالاتِ الشاشةِ — bootFiveStates	◆ محسومٌ تقنيًّا الآن — ولا يحتاج قرارَ مالك	الحكم: تُعاد النمذجةُ إلى خمسةِ محاورَ مستقلةٍ يركّبها الغلافُ الحاكمُ CM-00 — ولا تُبنى قائمةً واحدة · لماذا: «تحميل · فارغة · خطأ» محورٌ واحد · و«دون اتصال» محورٌ آخر · و«نجاح» ليست حالةَ شاشةٍ بل تغذيةً راجعةً لحظية · والغائبُ: لا نتائجَ للبحثِ وبلا صلاحيةٍ وقراءةٌ فقط والبياناتُ القديمة · الحالةُ الواقعية: الشاشةُ الميدانيةُ تكون «ببياناتٍ + قراءةٌ فقط + دون اتصال + بياناتٌ من قبل ثلاثِ ساعات» في آنٍ واحد — ولا تُمثَّل بحالةٍ واحدة · ◆ الصياغةُ الدقيقة: لا يُقال «العيبُ مزروعٌ في 288 شاشة» — فـv13 تثبت مركزيةَ النموذجِ ولا تثبت تبنّيَه في كلٍّ. والصحيح: النموذجُ المركزيُّ يحتاج تصحيحًا · وكلُّ شاشةٍ تتبناه تحمل العيبَ · ويُقاس التبنّي الفعليُّ أولًا · ما يُنفَّذ الآن: يوقف تعميقُ bootFiveStates · ويُبنى CM-00 بثمانِ خطواتٍ · ويُقاس التبنّي الفعليُّ · ثم تُهاجَر الشاشاتُ بدفعاتٍ من عشرين · الأثرُ إن تأخر: كلُّ شاشةٍ جديدةٍ تتبنى النموذجَ الخطأ — والتصحيحُ يتضاعف بعددها	—	—
CR-02	تعريفُ المقاييسِ — 249 و288 و203 و1,075	◆ محسومٌ تقنيًّا الآن — قاموسُ مقاييسٍ لا توحيدٌ قسري	الحكم: تُعرَّف المقاييسُ الأربعةُ صريحةً في قاموسٍ داخلَ المعمارية — ولا تُوحَّد قسرًا · Legal Screen شاشةٌ قانونيةٌ فريدةٌ في NAV-09 — المصدر: NAV-09 · العدد: 203 · Registered Screen سجلُّ شاشةٍ في جدول modules — المصدر: القاعدةُ الحية · العدد: 249 · UX Adoption Unit وحدةٌ يُطبَّق عليها معيارُ E-03 — المصدر: عدّادُ التبنّي · العدد: 288 · Navigation Item ظهورٌ فعليٌّ لدورٍ ونطاق — المصدر: nav_items · العدد: 1,075 · الحكمُ الملزم: ◆ كلُّ نسبةٍ تُعلَن تذكر مقامَها ومصدرَه — ولا نسبةَ بلا مقامٍ معرَّف	—	—
CR-03	نواةُ التأجيرِ وقاعدةُ NAV-09	◆ القاعدةُ محسومةٌ الآن — والقرارُ التجاريُّ للمالك	◆ القاعدةُ الحاكمة: Build ahead — never release ahead · يُبنى قبل التوثيقِ ولا يُصدَر قبله · ما يجوز: بناءُ شاشةٍ جديدةٍ في فرع تطويرٍ أو بيئةِ اختبارٍ قبل تحديث NAV-09 · ما لا يجوز: دخولُها إصدارًا · ظهورُها في الإنتاج · صيرورتُها جزءًا من السايدبار النافذ · الشروطُ الخمسةُ للإفراج: تُضاف إلى NAV-09 · تُحدَّد مرحلتُها ومالكُها ونطاقُها · تُبصَم النسخةُ · يُعاد توليدُ التنقلِ منها · يجتاز فحصَ المطابقة · أثرُها على ق-16: يبقى «الأحدثُ يغلب» نافذًا في المضمون — ويُقيَّد بألّا يتحول الرابطُ الجديدُ مصدرًا ثانيًا للتنقل · ◆ ما يبقى للمالك: أتُوثَّق نواةُ التأجيرِ نموذجًا رابعًا في E-09 أم تُعلَن خارجَ النطاقِ بقرار؟ — والقاعدةُ أعلاه تحكمها في الحالين	—	—
CR-04	طوبولوجيا القاعدتين 3306 و3307	◆ خطرٌ حاكمٌ — يحتاج بيانًا من الفريقِ وقرارَ المالك	الخطر: التشغيلُ المزدوجُ إن كانت القاعدتان قابلتين للكتابةِ معًا يُنتج انقسامَ العقل Split Brain — وهو أخطرُ من فجوةِ الواجهةِ كلِّها · الأسئلةُ الثمانيةُ التي يجب أن يجيبها قسمٌ جديد: أيُّ قاعدةٍ مصدرُ الحقيقة؟ · أ3306 للقراءةِ فقط أم قابلةٌ للكتابة؟ · أتوجد مزامنةٌ وما اتجاهُها؟ · ما سلوكُ التعارض؟ · ما خطةُ القلب؟ · متى تُطفأ القديمة؟ · كيف نرجع إن فشل الانتقال؟ · من يملك القرار؟ · الحكمُ المؤقتُ الآمن: حتى يصدر البيانُ — تُعامَل 3306 قاعدةً موروثةً للقراءةِ فقط · ولا كتابةَ فيها · ويُوثَّق أيُّ استثناءٍ صريحًا · ◆ إن كانت الاثنتان قابلتين للكتابةِ فعلًا: فهذا عيبٌ حرجٌ يمنع الإطلاقَ ويُرفع فورًا — لا دَينٌ يُؤجَّل	—	—
◆ القراراتُ التسعة					
DEC-A	نمطُ تسميةِ الأفعال	◆ محسومٌ تقنيًّا	domain.resource.action لكل الرموزِ الـ242 — بمميِّزٍ عند التصادمِ وترحيلٍ بمرادفاتٍ دورةَ إصدارٍ كاملة	النمطُ الجزئيُّ يُنتج قاموسًا مختلطًا يصعب صيانتُه · والمرادفُ يمنع الكسرَ أثناء الترحيل	أربعةُ صفوفٍ برمزين يحملان معنيين تُصلَح أولًا قبل حملةِ الربط
DEC-B	نواةُ التأجير	◆ القاعدةُ محسومةٌ · والقرارُ التجاريُّ للمالك	Build ahead — never release ahead · وأيًّا كان قرارُ التوثيقِ فالقاعدةُ تحكم	تفصل بين سرعةِ التطويرِ ووحدةِ مصدرِ الحقيقةِ بلا كسرِ أحدهما	يبقى سؤالُ المالك: نموذجٌ رابعٌ في E-09 أم خارجُ النطاق؟
DEC-C	التصادماتُ التاريخيةُ 5,986	✔ حُسم — قرارُ مالكٍ نافذ	الموروثُ معلَنٌ خارجَ الدرعِ · والدرعُ يعمل على السكةِ الجديدةِ بقادحين	مطابقٌ للتوصيةِ المهنيةِ — فالدمجُ الآليُّ يفقد بياناتٍ واليدويُّ يستحيل في 5,986	◆ مغلقٌ — ق-18
DEC-D	الـ65 جدولًا بلا عمود كيان	◆ المنهجُ محسومٌ — والتصنيفُ يحتاج القاعدةَ الحية	لا يُفرَض company_id على الكلِّ — بل يُصنَّف كلُّ جدولٍ في أحد أربعةِ أصناف: Global · معزولٌ عبر الأبِ · موروثٌ محجورٌ · مستأجَرٌ يجب ترحيلُه	◆ الحكمُ المهني: إثباتُ مسارِ العزلِ لكلٍّ · فما كان آمنًا عبر أبيه أو عامًّا فلا مشكلةَ معماريةً فيه	المستأجَرُ الحقيقيُّ بلا عزلٍ مباشرٍ ولا غيرِ مباشرٍ = دَينٌ أمنيٌّ يمنع الإطلاق
DEC-E	نمذجةُ حالاتِ الشاشة	◆ محسومٌ تقنيًّا	خمسةُ محاورَ مستقلةٍ يركّبها CM-00 — ويوقف تعميقُ bootFiveStates	القائمةُ الواحدةُ تخلط محاورَ وتُسقط أربعَ قيمٍ ضرورية	يُقاس التبنّي الفعليُّ قبل تحديدِ عددِ الشاشات المتأثرة
DEC-F	تعريفُ المقاييس	◆ محسومٌ تقنيًّا	قاموسُ مقاييسٍ بأربعةِ تعريفاتٍ داخلَ المعمارية — ولا توحيدَ قسريّ	الأرقامُ ليست متناقضةً بل غيرَ معرَّفةٍ — والتعريفُ ينهي المشكلةَ نهائيًّا	◆ كلُّ نسبةٍ تذكر مقامَها ومصدرَه
