code,write_class,binding_state,handler_file,audit_channel,verdict
acc.define,domain_write,bound_page,Finance/management_accounting_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
act.upgrade,domain_write,bound_page,Governance/activation_patterns.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
adv.grant,domain_write,bound_page,Workforce/employee_advances.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
amend.activate,domain_write,alias,contracts/contract_actions_handler.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
approval.grant,domain_write,alias,approvals/hours_approval_handler.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
approval.reject,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
approval.return,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
asg.issue,domain_write,bound_page,admin/org_assignments.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
asset.assign,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
asset.create,domain_write,bound_page,Equipments/equipments.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
asset.dispose,domain_write,bound_page,Equipments/equipments.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
asset.link,domain_write,bound_page,Equipments/fin_assets.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
ast.assign,domain_write,bound_page,main/all_assistants.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
att.record,domain_write,bound_page,Operations/attendance.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
audit.export,governance_write,bound_page,ActivityLogs/activity_logs.php,activity_logs,"covered — مركزي + قناة قبل/بعد"
audit.read,domain_write,bound_page,ActivityLogs/activity_logs.php,activity_logs,"covered — مركزي + قناة قبل/بعد"
bank.verify,domain_write,bound_page,Suppliers/supplier_bank.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
bridge.link,domain_write,bound_page,Equipments/code_bridge.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
budget.approve,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
budget.commit,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
budget.request,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
cal.approve,domain_write,bound_page,Operations/site_work_calendar.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
cap.measure,domain_write,bound_page,Suppliers/supplier_capacity.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
cap.switch,domain_write,bound_page,user_capacities.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
carrier.assign,domain_write,bound_page,Transport/transfer_fleet.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
cash.forecast,domain_write,bound_page,Finance/cash_forecast_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
ceo.approve,domain_write,bound_page,Portal/ceo_approvals.php,publishFact,"covered — مركزي + قناة قبل/بعد"
ceo.sign,domain_write,bound_page,Portal/ceo_contracts.php,publishFact,"covered — مركزي + قناة قبل/بعد"
cert.issue,domain_write,bound_page,Portal/my_certificate.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
chain.complete,domain_write,alias,app/Services/Policy/UnitJourneyService.php,publishFact,"covered — مركزي + قناة قبل/بعد"
chain.ops,domain_write,alias,app/Services/Policy/UnitJourneyService.php,publishFact,"covered — مركزي + قناة قبل/بعد"
chain.site,domain_write,alias,app/Services/Policy/UnitJourneyService.php,publishFact,"covered — مركزي + قناة قبل/بعد"
change.record,domain_write,bound_page,Financing/fin_changes.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
claim.client.approve,domain_write,bound_page,Contracts/claims.php,"publishFact (via claim_helpers.php)","covered — مركزي + قناة قبل/بعد"
claim.issue,domain_write,bound_page,Contracts/claims.php,"publishFact (via claim_helpers.php)","covered — مركزي + قناة قبل/بعد"
client.create,domain_write,bound_page,Clients/clients.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
code.assign,domain_write,bound_page,Workforce/op_codes.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
cons.flag,domain_write,bound_page,Procurement/consumption_rate.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
contract.activate,domain_write,alias,contracts/contractequipments_handler.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
contract.sign,domain_write,bound_page,Employees/employee_contracts.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
cost.allocate,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
cost.compute,domain_write,bound_page,Finance/cost_report_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
cov.define,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
custody.return,domain_write,bound_page,Procurement/receipt_custody_proc.php,"EventPublisher (via proc_helpers.php)","covered — مركزي + قناة قبل/بعد"
cycle.measure,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
ded.approve,domain_write,bound_page,Workforce/deductions.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
ded.propose,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
deleg.grant,domain_write,bound_page,Governance/signing_authority.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
denial.review,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
dep.policy,domain_write,bound_page,Equipments/fleet_depreciation_profiles.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
dep.post,domain_write,bound_page,Finance/assets_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
desk.post,domain_write,bound_page,FinRequests/request_actions.php,"publishFact (via _finreq_helpers.php)","covered — مركزي + قناة قبل/بعد"
dev.close,domain_write,alias,Financing/deviations.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
doc.expire,domain_write,bound_page,Equipments/equipment_documents.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
dt.define,domain_write,bound_page,Governance/doc_types.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
emp.create,domain_write,bound_page,Employees/employees.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
emp.settle,domain_write,bound_page,Workforce/final_settlement.php,sensitive_read_log,"covered — مركزي + قناة قبل/بعد"
entity.create,domain_write,bound_page,Governance/entities_registry.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
eq.quota.allocate,domain_write,bound_page,Operations/equipment_quota.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
eq.quota.shift,domain_write,bound_page,Operations/equipment_quota.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
eqt.define,domain_write,bound_page,Equipments/equipments_types.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
esc.auto,domain_write,bound_page,Tickets/ticket_escalation_config.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
eval.submit,domain_write,bound_page,Portal/my_evaluation.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
evt.log,domain_write,bound_page,Clients/contract_events.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
exception.grant,domain_write,bound_page,Governance/exceptions.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
exit.record,domain_write,alias,Financing/deviations.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
fail.classify,domain_write,bound_page,Equipments/manage_failure_codes.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
field.classify,domain_write,bound_page,Governance/sensitive_fields.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
fin.close,domain_write,bound_page,Finance/periods_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
fin.entitle,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
fin.operation,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
financier.create,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
