INJ	screen	action	perm	trigger	tables	kind	evidence
INJ-0002	Procurement/rfq_compare_award.php	proc.rfq.award	can_add	award_quote	rfq_awards,supplier_rfqs	write	rfq_awards:INSERT@17 · supplier_rfqs:nav09_action_map
INJ-0005	includes/permissions_helper.php					no_write	لا معالجَ كتابةٍ في المصدر — يُقاس بأثرٍ آخر
INJ-0006	excel.php					no_write	لا معالجَ كتابةٍ في المصدر — يُقاس بأثرٍ آخر
INJ-0008	—					no_file	الرابطُ لا يشير إلى ملفٍّ حيّ
INJ-0009	Transport/transfer_close_cost.php	trs.transfer.close_with_cost	can_edit	close_id	transfer_orders,transfer_events,transfer_cost_lines	write	transfer_orders:nav09_action_map · transfer_events:nav09_action_map · transfer_cost_lines:nav09_action_map
INJ-0010	Procurement/rfq_compare_award.php	proc.rfq.award	can_add	award_quote	rfq_awards,supplier_rfqs	write	rfq_awards:INSERT@17 · supplier_rfqs:nav09_action_map
INJ-0011	Procurement/wh_transfer.php	proc.stock.warehouse_transfer	can_edit	item_id	proc_stock_move	write	proc_stock_move:nav09_action_map
INJ-0012	Procurement/wh_count.php	proc.stock.count_adjust	can_edit	adjust_item	proc_stock_move	write	proc_stock_move:nav09_action_map
INJ-0014	Portal/ceo_contracts.php				exec_contract_signings	write	exec_contract_signings:INSERT@110
INJ-0016	Portal/ceo_approvals.php				exec_approvals	write	exec_approvals:INSERT@95
INJ-0017	Portal/ceo_approvals.php				exec_approvals	write	exec_approvals:INSERT@95
INJ-0018	Portal/project_charter.php				exec_project_charters,project,fin_cost_centers,sites	write	exec_project_charters:INSERT@124 · project:INSERT@193 · fin_cost_centers:INSERT@204 · sites:INSERT@215
INJ-0022	Operations/stops_unattributed.php			assign_ts	timesheet	write	timesheet:UPDATE@50
INJ-0023	Operations/production.php					no_write	لا معالجَ كتابةٍ في المصدر — يُقاس بأثرٍ آخر
INJ-0024	Approvals/hours_approval.php					no_write	لا معالجَ كتابةٍ في المصدر — يُقاس بأثرٍ آخر
INJ-0025	Operations/cron_wfm_engine.php				recurring_tasks,work_delegations,work_escalations,scr_access_review	write	recurring_tasks:UPDATE@78 · work_delegations:UPDATE@87 · work_escalations:INSERT@115 · scr_access_review:INSERT@268
