n,route,current_name,canonical_ar,canonical_en,old_names,definition,owner_dept,level,canonical_group,sort,nature,dept_count,depts,decision,status,derivation,view_of,merge_into,retirement_status,route_variant,current_label,current_parent,current_order,section
1,Portal/ceo_approvals.php,"اعتمادات المدير التنفيذي","اعتمادات الرئيس التنفيذي","Ceo Approvals","اعتمادات المدير التنفيذي","صندوقُ اعتمادات المدير التنفيذي: ما يتجاوز صلاحيات الإدارات ويحتاج قرارَه. الغرض حصر ما ينتظر توقيعه في مكانٍ واحد. تستخدمها الإدارة التنفيذية.","مكتب الرئيس التنفيذي والنواب","1 — لوحة الإدارة","الاعتمادات والمسائل المرفوعة",100,فعل,1,"الإدارة التنفيذية","يُحوَّل فعلًا في مكوّنِ الانتقال + يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة","زاويةُ نظرٍ لنفسِ البيانات مع: Portal/ceo_board.php",—,ACTIVE,—,"اعتمادات المدير التنفيذي","الاعتمادات العليا","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
2,Portal/my_tasks.php,مهامي,مهامي,"My Tasks",—,"تعرض مهامّ المستخدم مجموعةً من أربعة عشر مصدرًا في ثمانية عروض: اليوم · المتأخرة · القادمة · المعطلة · المعادة · المفوَّضة إليّ · التي كلّفتُ بها · فريقي (للمدير من الهيكل التنظيمي","مكتب الرئيس التنفيذي والنواب","1 — لوحة الإدارة","المركز التنفيذي",0,"شاشةٌ مستقلة",16,"أمين المستودع · إدارة التمويل · إدارة الصلاحيات · إدارة المالية · إدارة المخاطر · إدارة المشتريات · إدارة الموقع · إدارة النقل والترحيل · ادارة الاسطول · ادارة التشغيل · ادارة الصيانة · ادارة المبيعات · ادارة الموارد البشرية · ادارة الموردين · الإدارة التنفيذية · القوى التشغيلية","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,مهامي,"لوحة الإدارة · لوحة الإدارة التنفيذية · لوحة الموقع","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
3,Portal/my_achievement.php,إنجازي,إنجازي,"My Achievement",—,"تعرض إنجاز الموظف بين تاريخين بمؤشراتٍ سبعةٍ ومقارنةٍ بالفترة السابقة. الغرض قياس إنجاز الفرد شخصيًّا بفترةٍ حرة؛ والمؤشر الذي لا يخصّ فئةَ الموظف يُخفى بنصِّ «لا ينطبق». يستخدمها","مكتب الرئيس التنفيذي والنواب","1 — لوحة الإدارة","المركز التنفيذي",1,منظر,15,"أمين المستودع · إدارة التمويل · إدارة الصلاحيات · إدارة المالية · إدارة المشتريات · إدارة الموقع · إدارة النقل والترحيل · ادارة الاسطول · ادارة التشغيل · ادارة الصيانة · ادارة المبيعات · ادارة الموارد البشرية · ادارة الموردين · الإدارة التنفيذية · القوى التشغيلية","يُحوَّل منظرَ عملٍ محفوظًا + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,إنجازي,"لوحة الإدارة · لوحة الإدارة التنفيذية · لوحة الموقع","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
4,FinRequests/my_requests.php,"طلباتي / طلباتي المالية",طلباتي,"My Requests","طلباتي / طلباتي المالية","تعرض للمستخدم طلباته المالية هو نفسه بأرقامها وأنواعها ومبرّراتها ومستفيديها ومبالغها وحالتها الحالية وحدثها المالي إن وُلد. الغرض أن يعرف صاحب الطلب أين وصل طلبه دون مراجعة أحد. ي","مكتب الرئيس التنفيذي والنواب","1 — لوحة الإدارة","المركز التنفيذي",3,فعل,16,"أمين المستودع · إدارة التمويل · إدارة الصلاحيات · إدارة المالية · إدارة المشتريات · إدارة الموقع · إدارة الموقع (قديم — مدمج في 6) · إدارة النقل والترحيل · ادارة الاسطول · ادارة التشغيل · ادارة الصيانة · ادارة المبيعات · ادارة الموارد البشرية · ادارة الموردين · الإدارة التنفيذية · القوى التشغيلية","يُحوَّل فعلًا في مكوّنِ الانتقال + يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"طلباتي / طلباتي المالية","العمل اليومي · لوحة الإدارة · لوحة الإدارة التنفيذية · لوحة الموقع","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
5,Portal/ceo_board.php,"لوحة المدير التنفيذي","لوحة الرئيس التنفيذي","Ceo Board","لوحة المدير التنفيذي","لوحةُ المدير التنفيذي بالمؤشرات العليا: الأداء المالي والتشغيلي مجمَّعًا. الغرض إعطاء القيادة صورةَ الشركة في شاشةٍ واحدة. تستخدمها الإدارة التنفيذية.","مكتب الرئيس التنفيذي والنواب","1 — لوحة الإدارة","المركز التنفيذي",10,تقرير,1,"الإدارة التنفيذية","يبقى تقريرًا في المستوى ٤ + يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة","زاويةُ نظرٍ لنفسِ البيانات مع: Portal/ceo_approvals.php",—,ACTIVE,—,"لوحة المدير التنفيذي","لوحة الإدارة التنفيذية","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
6,Finance/budget_master.php,"الموازنة العامة","الموازنة العامة","Budget Master",—,"توحّد ميزانيات الإدارات كلها في عرضٍ واحدٍ بمجاميعها ومخطّطها وفعليّها وانحرافها. الغرض إعطاء المالية صورةَ الموازنة العامة مجمَّعةً عبر الإدارات. يستخدمها المدير المالي.","مكتب الرئيس التنفيذي والنواب","2 — العمليات","التأسيس والهيكل المؤسسي",310,"شاشةٌ مستقلة",2,"إدارة المالية · الإدارة التنفيذية","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"الموازنة العامة","الإقفال والموازنة · نماذج العمل والحدود","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
7,Portal/project_charter.php,"قرار فتح مشروع جديد","قرار فتح مشروع جديد","Project Charter",—,"قرارُ فتح مشروعٍ جديد بمبرّراته ونطاقه ومخصّصاته. الغرض ألّا يُفتح مشروعٌ بلا قرارٍ موثَّقٍ من الإدارة التنفيذية. تستخدمها الإدارة التنفيذية.","مكتب الرئيس التنفيذي والنواب","2 — العمليات","التأسيس والهيكل المؤسسي",320,"شاشةٌ مستقلة",1,"الإدارة التنفيذية","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"قرار فتح مشروع جديد","فتح المشاريع","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
8,Portal/ceo_contracts.php,"توقيع العقود والالتزامات","العقود والالتزامات المحجوزة أو المصعَّدة","Ceo Contracts","توقيع العقود والالتزامات","تعرض العقود والالتزامات التي تنتظر توقيع المدير التنفيذي. الغرض ألّا يُلزَم الكيان بعقدٍ إلا بتوقيعٍ مخوَّل. تستخدمها الإدارة التنفيذية.","مكتب الرئيس التنفيذي والنواب","2 — العمليات","القرارات المحجوزة",200,"شاشةٌ مستقلة",1,"الإدارة التنفيذية","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"توقيع العقود والالتزامات","توقيع العقود","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
9,Portal/contract_review.php,"مراجعة العقود وملاحظاتها","مراجعة العقود وملاحظاتها","Contract Review","نوقّع العقدالعقدُ وأحكامُه وجزاءاتُه وآلياتُ تعديلِ سعره","تعرض العقود قيد المراجعة قبل التوقيع مع ملاحظات المراجعين. الغرض ألّا يُوقَّع عقدٌ قبل استيفاء ملاحظات مراجعته. تستخدمها الإدارة التنفيذية.","مكتب الرئيس التنفيذي والنواب","2 — العمليات","القرارات المحجوزة",210,"شاشةٌ مستقلة",2,"ادارة المبيعات · الإدارة التنفيذية","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"مراجعة العقود وملاحظاتها","توقيع العقود · نوقّع العقدالعقدُ وأحكامُه وجزاءاتُه وآلياتُ تعديلِ سعره","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
10,Workforce/contract_registry.php,"سجل العقود الموحّد / سجل العقود الموحَّد","سجل العقود الموحَّد","Contract Registry","سجل العقود الموحّد / سجل العقود الموحَّد · نوقّع العقدالعقدُ وأحكامُه وجزاءاتُه وآلياتُ تعديلِ سعره","تعرض سجلّ عقود الموظفين الموحّد بحالاتها ومددها وتنبيهات انتهائها وفئتها ونموذج أجرها ومشروعها، ولكل عقدٍ مكوّناتُ أجره وقواعدُ حوافزه وتوزيعُ تحمّلها وملاحقُه. الغرض أن يكون المرج","مكتب الرئيس التنفيذي والنواب","2 — العمليات","القرارات المحجوزة",220,"شاشةٌ مستقلة",4,"إدارة الصلاحيات · ادارة المبيعات · ادارة الموارد البشرية · الإدارة التنفيذية","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"سجل العقود الموحّد / سجل العقود الموحَّد","التدقيق والمراجعة · العمل اليومي · توقيع العقود · نوقّع العقدالعقدُ وأحكامُه وجزاءاتُه وآلياتُ تعديلِ سعره","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
11,Reports/approval_lag_report.php,"الاعتمادات المتأخرة والوثائق","الاعتمادات المتأخرة والوثائق","Approval Lag Report",—,"تعرض مؤشرَين أسبوعيَّين: الاعتمادات المتأخرة (عدد الوحدات غير المعتمدة وأقدمها بالأيام) والوثائق المنتهية بعددها. الغرض ملاحقة القمع في الاعتماد وانتهاء الوثائق بهدفٍ معلن: صفر أقد","مكتب الرئيس التنفيذي والنواب","4 — التقارير والتحليلات","التقارير والتحليلات",900,تقرير,2,"إدارة التمويل · ادارة التشغيل","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"الاعتمادات المتأخرة والوثائق","التقارير والتحليلات · العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
12,Reports/daily_units_report.php,"سجل الوحدات اليومية","سجل الوحدات اليومية","Daily Units Report",—,"تعرض سجلّ الوحدات اليومية بالتاريخ والمشروع والمعدة والمورد والمشغّل والوحدة والكمية والحالة. الغرض أن يكون سجلًّا تشغيليًّا واحدًا وتقريرًا في آنٍ، تُستوعب فيه تقارير الساعات القد","مكتب الرئيس التنفيذي والنواب","4 — التقارير والتحليلات","التقارير والتحليلات",900,تقرير,2,"إدارة المالية · ادارة التشغيل","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"سجل الوحدات اليومية","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
13,Reports/reports.php,"مركز التقارير","مركز التقارير — التنفيذية",Reports,"مركز التقارير","تعرض إجمالي ساعات التشغيل مجمَّعةً حسب المورد والمشروع والعقد، مع فلاترَ لكلٍّ منها، وروابطَ إلى التقارير التفصيلية الأخرى. الغرض أن تكون نقطة البدء لقراءة أداء التشغيل بالساعات. ت","مكتب الرئيس التنفيذي والنواب","4 — التقارير والتحليلات","الأداء المؤسسي",450,تقرير,8,"إدارة الموقع · إدارة الموقع (قديم — مدمج في 6) · ادارة الاسطول · ادارة التشغيل · ادارة المبيعات · ادارة الموارد البشرية · ادارة الموردين · المدير المالي","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",PENDING_OWNER_MERGE,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,"يُتقاعَد بعد إثباتِ تغطيةِ المركزِ الذكيّ — بقرارِ المالكِ الموقَّع",RETIRE_AFTER_PROOF,—,"مركز التقارير","التقارير والتحليلات · العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
14,Reports/margin_report.php,"هامش الربح للعقد والواقعة","هامش الربح للعقد والواقعة","Margin Report",—,"تعرض هامش الواقعة والعقد محسوبًا من الاعترافات الثلاثة (إيراد العميل · مستحق المورد · مستحق المشغّل). الغرض معرفة ربحية كل واقعةٍ وكل عقدٍ من مصدرها لا بتقدير. تستخدمها المالية وال","مكتب الرئيس التنفيذي والنواب","4 — التقارير والتحليلات","الرقابة العليا",900,تقرير,4,"إدارة المالية · ادارة التشغيل · ادارة المبيعات · الإدارة التنفيذية","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"هامش الربح للعقد والواقعة","الرقابة العليا · تقاريرُ المبيعاتمخاطرُ المبيعاتِ وحوكمتُها · متابعة الانحراف · متابعة وتقارير المالية","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
15,Portal/founding_mode.php,"وضع التأسيس وإغلاقه","وضع التأسيس وإغلاقه","Founding Mode",—,"تدير «وضع التأسيس» وإغلاقه — المرحلة التي يُسمح فيها بإدخال البيانات المؤسِّسة قبل تشغيل الحرّاس بالكامل. الغرض إغلاق باب التأسيس بقرارٍ صريحٍ فلا يبقى مفتوحًا بعد انطلاق العمل. تس","مكتب الرئيس التنفيذي والنواب","5 — البيانات المرجعية","إعدادات النظام وبصمة الإصدار",600,"شاشةٌ مستقلة",2,"إدارة الصلاحيات · الإدارة التنفيذية","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"وضع التأسيس وإغلاقه","التأسيس والإصدار","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
16,Portal/release_stamp.php,"بصمة الإصدار وتقرير النشر","بصمة الإصدار وتقرير النشر","Release Stamp",—,"تعرض بصمة الإصدار وتقرير النشر: ما نُشر ومتى وبأي بصمة. الغرض توثيق ما يعمل في الإنتاج فعلًا. تستخدمها الإدارة التنفيذية.","مكتب الرئيس التنفيذي والنواب","5 — البيانات المرجعية","إعدادات النظام وبصمة الإصدار",610,"شاشةٌ مستقلة",2,"إدارة الصلاحيات · الإدارة التنفيذية","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"بصمة الإصدار وتقرير النشر","التأسيس والإصدار","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
17,Portal/ceo_risk.php,"المخاطر والقرارات العليا","المخاطر والقرارات العليا","Ceo Risk",—,"تعرض المخاطر العليا والقرارات المتخذة بشأنها. الغرض متابعة ما يهدّد الشركة على مستوى القيادة لا الإدارة. تستخدمها الإدارة التنفيذية.","مكتب الرئيس التنفيذي والنواب","5 — البيانات المرجعية","الحوكمة والضوابط",500,"شاشةٌ مستقلة",1,"الإدارة التنفيذية","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"المخاطر والقرارات العليا","المخاطر والحسم","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
18,Clients/commercial_risks.php,"المخاطر التجارية","المخاطر التجارية","Commercial Risks",—,"تعرض سجلّ المخاطر التجارية بوصف كل خطرٍ ونوعه ودرجة خطورته وحالته والجهة المرتبطة به والمسؤول عن معالجته. الغرض رصد ما قد يهدّد فرصةً أو عقدًا في وقتٍ مبكر وتعيين مالكٍ صريحٍ لكل خ","مكتب الرئيس التنفيذي والنواب","5 — البيانات المرجعية","الحوكمة والضوابط",510,"شاشةٌ مستقلة",2,"ادارة المبيعات · الإدارة التنفيذية","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"المخاطر التجارية","المخاطر والحسم · متابعةُ إدارتيالملاحقُ والتجديداتُ وسجلُّ حركةِ العقدِ ومراجعتُه","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","مكتب الرئيس التنفيذي والنواب"
