id	door	door_title	requirement	acceptance_test	state	evidence
OWF-0001-أ	٤-١	منهجُ التنفيذِ وحدودُه	◆ تُنفَّذ قراراتُ المالكِ النافذةُ في عشرةِ أبوابٍ	اختبارُ منهج: كلُّ حكمٍ مجتهَدٍ فيه موسومٌ صريحًا	غير مقيس	
OWF-0001-ب	٤-١	منهجُ التنفيذِ وحدودُه	ولكلِّ قرارٍ حكمُه وحجّتُه وشاهدُ قبولِه · وما لم يحدّده المالكُ قُرِّر بالأصوبِ معياريًّا وأُعلن موسومًا «قرارَ اجتهادٍ ينتظر تصديقًا».	اختبارُ منهج: كلُّ حكمٍ مجتهَدٍ فيه موسومٌ صريحًا	غير مقيس	
OWF-0002-أ	٤-١	منهجُ التنفيذِ وحدودُه	◆ ولا يُضيَّق حكمُ المالكِ بتخصيصِه بحالةٍ واحدةٍ	اختبارُ تعميم: كلُّ حكمٍ عامٍّ مطبَّقٌ على حالاتِه كلِّها لا على المثالِ المذكورِ وحدَه	غير مقيس	
OWF-0002-ب	٤-١	منهجُ التنفيذِ وحدودُه	فالتضييقُ أخطرُ من الإغفال: الإغفالُ يُرى والتضييقُ يُصدَّق.	اختبارُ تعميم: كلُّ حكمٍ عامٍّ مطبَّقٌ على حالاتِه كلِّها لا على المثالِ المذكورِ وحدَه	غير مقيس	
OWF-0003-أ	٤-٢	محاسبُ الموقعِ والعهدة	حكمٌ نافذ «SA-01» — لكلِّ موقعٍ محاسبُ موقعٍ مقيمٌ فيه — نطاقُ الحكم	اختبارُ حكم: صفرُ موقعٍ نشطٍ بلا محاسبِ موقعٍ مسنَدٍ ومسجَّل	غير مقيس	
OWF-0003-ب	٤-٢	محاسبُ الموقعِ والعهدة	◆ مقيمٌ في المشروعِ لا زائرًا	اختبارُ حكم: صفرُ موقعٍ نشطٍ بلا محاسبِ موقعٍ مسنَدٍ ومسجَّل	غير مقيس	
OWF-0003-ج	٤-٢	محاسبُ الموقعِ والعهدة	ويتبع مديرَ الموقعِ إداريًّا ورئيسَ الحساباتِ فنيًّا	اختبارُ حكم: صفرُ موقعٍ نشطٍ بلا محاسبِ موقعٍ مسنَدٍ ومسجَّل	غير مقيس	
OWF-0004-أ	٤-٢	محاسبُ الموقعِ والعهدة	حجّةُ «SA-01» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0004-ب	٤-٢	محاسبُ الموقعِ والعهدة	◆ فالتبعيةُ الإداريةُ لمن يعمل معه يوميًّا · والفنيةُ لمن يملك المعاييرَ المحاسبية · ولا يُعطي أحدُهما ما يملكه الآخر	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0005-أ	٤-٢	محاسبُ الموقعِ والعهدة	حكمٌ نافذ «SA-02»	اختبارُ حكم: صفرُ اعتمادٍ يوميٍّ للتايم شيتِ بيدٍ واحدةٍ في موقعٍ له محاسب	غير مقيس	
