المعرف,وثيقته,النمط,نصه
IAM-001,E-05,ظهور,"هوية لا صفحة موظف § IAM-001 § اختبارُ ظهور: بمعطى مستخدمٍ داخلَ النطاق وآخرَ خارجه لـ«هوية لا صفحة موظف — منصة واحدة تتشكل بالصلاحيات يدخل…» · وعند فتح الشاشة · فإن الأولَ يرى نطاقَه والثانيَ لا يُصيَّر له العنصرُ ولا يُرسَل في الاستجابة"
IAM-002,E-05,ظهور,"وما تملكه: نموذج الصفات · حارس الظهور · مقاييس الإنجاز · التقييم وشهادته · سجل نشاطها. § IAM-002 § اختبارُ ظهور: بمعطى مستخدمٍ داخلَ النطاق وآخرَ خارجه لـ«البوابة» · وعند فتح الشاشة · فإن الأولَ يرى نطاقَه والثانيَ لا يُصيَّر له العنصرُ ولا يُرسَل في الاستجابة"
IAM-003,E-05,أخرى,"وليست صفحة الدخول: بعد تسجيل الدخول تُفتح لوحة العمل بحسب الحساب. § IAM-003 § اختبارُ انتقال: بمعطى مستندٍ في حالته السابقةِ لـ«جناح أيمن ثابت يُفتح ويُطوى من أي صفحة — يرافق المست…» · وعند تنفيذ المحفّز بمخوَّلٍ وشرطٍ مستوفًى · فإن الحالةَ تنتقل ويُسجَّل الانتقالُ بفاعله ووقته · والانتقالُ غيرُ المعرَّف يُرفض"
IAM-004,E-05,ظهور,"فصل الأسئلة الثلاثة — نطاقُ الحكم § IAM-004 § اختبارُ ظهور: بمعطى مستخدمٍ داخلَ النطاق وآخرَ خارجه لـ««ماذا يخصّني أنا؟» → البوابة (USR-01) · «كيف تعمل ال…» · وعند فتح الشاشة · فإن الأولَ يرى نطاقَه والثانيَ لا يُصيَّر له العنصرُ ولا يُرسَل في الاستجابة"
IAM-005,E-05,أخرى,"نموذج الهوية بخمس طبقات — نطاقُ الحكم § IAM-005 § اختبارُ اكتمال: بمعطى شاشةٍ أو جدولٍ يخصُّ «① الشخص (سجل شخص واحد» · وعند فحص بنيته · فإن كلَّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف · والأعمدةُ الحاكمةُ السبعةُ حاضرة"
IAM-006,E-05,أخرى,"أنواع الصفة العشرة — نطاقُ الحكم § IAM-006 § اختبارُ وجودٍ وسلوك: بمعطى بيئةٍ مهيَّأةٍ لـ«موظف مؤسسي · موظف مشروع · مشغّل · فني · مشرف ورديات …» · وعند تنفيذ السيناريو الموصوف · فإن السلوكَ يطابق النصَّ ويُوثَّق الشاهدُ بلقطةٍ أو سجل"
IAM-007,E-05,ظهور,"قد يكون الشخص مشغّلًا لمورد ومشرف وردية لدينا في وقت واحد § IAM-007 § اختبارُ ظهور: بمعطى مستخدمٍ داخلَ النطاق وآخرَ خارجه لـ«قد يكون الشخص مشغّلًا لمورد ومشرف وردية لدينا في وقت…» · وعند فتح الشاشة · فإن الأولَ يرى نطاقَه والثانيَ لا يُصيَّر له العنصرُ ولا يُرسَل في الاستجابة"
IAM-008,E-05,أخرى,"صفة مصدرها عقد منتهٍ أو تفويض مسحوب تُجمَّد فورًا مع بقاء السجل التاريخي للقراءة بحسب سياسة الاحتفاظ. § IAM-008 § اختبارُ وجودٍ وسلوك: بمعطى بيئةٍ مهيَّأةٍ لـ«صفة مصدرها عقد منتهٍ أو تفويض مسحوب تُجمَّد فورًا مع…» · وعند تنفيذ السيناريو الموصوف · فإن السلوكَ يطابق النصَّ ويُوثَّق الشاهدُ بلقطةٍ أو سجل"
IAM-009,E-05,ظهور,"مشرف المورد وممثل العميل حسابات كاملة بصفتها ونطاقها § IAM-009 § اختبارُ ظهور: بمعطى مستخدمٍ داخلَ النطاق وآخرَ خارجه لـ«مشرف المورد وممثل العميل حسابات كاملة بصفتها ونطاقها…» · وعند فتح الشاشة · فإن الأولَ يرى نطاقَه والثانيَ لا يُصيَّر له العنصرُ ولا يُرسَل في الاستجابة"
IAM-010,E-05,ظهور,"كل إدارة تنشر «موجز الشخص» بعقد موحَّد ببطاقات ذات ترويسة ثابتة (العنوان · القيمة · الفترة · رابط المصدر · كود الظهور) § IAM-010 § اختبارُ ظهور: بمعطى مستخدمٍ داخلَ النطاق وآخرَ خارجه لـ«لا تستعلم البوابة من جداول الإدارات مباشرة» · وعند فتح الشاشة · فإن الأولَ يرى نطاقَه والثانيَ لا يُصيَّر له العنصرُ ولا يُرسَل في الاستجابة"
IAM-011,E-05,أخرى,"ولا تُنسخ بياناته إلى جداول البوابة إلا كاشًا مؤقتًا بمفتاح (الشخص × الصفة × القسم) يُبطَل عند أي حدث من مصدره § IAM-011 § اختبارُ منع: بمعطى محاولةٍ تخالف «الموجز قراءة لحظية عبر Views وخدمات المالكين — ولا ت…» · وعند تنفيذها · فإن الخادمَ يرفض برمزٍ وسببٍ ويُسجَّل الرفضُ بالمستخدم والوقت"
IAM-012,E-04,أخرى,"والمنع افتراضي حتى يُمنح: ① الصفة والصلاحية (الفشل: العنصر لا يُصيَّر أصلًا Hide Node لا خطأ) ② العلاقة بالشخص المعروض (نفسه · مرؤوس مباشر · نطاقه · كل الكيان — الفشل: 403 مسجَّلة في سجل الأمن) ③ مفتاح الموارد البشرية (مفتوح · مغلق · موروث من السياسة — الفشل: العنصر مخفي بقرار موثَّق). § IAM-012 § اختبارُ منع: بمعطى محاولةٍ تخالف «حارس الصلاحيات ثلاثي الأبعاد — كل عنصر (بطاقة · حقل …» · وعند تنفيذها · فإن الخادمَ يرفض برمزٍ وسببٍ ويُسجَّل الرفضُ بالمستخدم والوقت"
IAM-013,E-04,ظهور,"مصفوفة المشاهدين الستة — نطاقُ الحكم § IAM-013 § اختبارُ ظهور: بمعطى مستخدمٍ داخلَ النطاق وآخرَ خارجه لـ«① الشخص عن نفسه (كل بطاقاته الشخصية — ولا يرى تقييم …» · وعند فتح الشاشة · فإن الأولَ يرى نطاقَه والثانيَ لا يُصيَّر له العنصرُ ولا يُرسَل في الاستجابة"
IAM-015,E-04,أخرى,"ولا تُمنح افتراضيًّا لأي دور إشرافي. § IAM-015 § اختبارُ منع: بمعطى محاولةٍ تخالف «الحقول الحساسة (الراتب · التقييم · الجزاءات · المستن…» · وعند تنفيذها · فإن الخادمَ يرفض برمزٍ وسببٍ ويُسجَّل الرفضُ بالمستخدم والوقت"
