id	severity	blocks_launch	state	witness
INJ-0001	P0	نعم	مُغلقٌ بشاهد	tools/fix_inj_tests.php
INJ-0002	P0	نعم	مُغلقٌ بشاهد	
INJ-0003	P0	نعم	مُغلقٌ بشاهد	tools/fix_inj_tests.php
INJ-0004	P0	نعم	مُغلقٌ بشاهد	tools/fix_inj_tests.php
INJ-0005	P0	نعم	مُغلقٌ بشاهد	tools/fix_covered_campaign.php
INJ-0006	P0	نعم	مُغلقٌ بشاهد	tools/fix_covered_campaign.php
INJ-0007	P0	نعم	غيرُ مقيس	
INJ-0008	P0	نعم	مُغلقٌ بشاهد	
INJ-0009	P0	نعم	مُغلقٌ بشاهد	
INJ-0010	P0	نعم	مُغلقٌ بشاهد	
INJ-0011	P0	نعم	مُغلقٌ بشاهد	
INJ-0012	P0	نعم	مُغلقٌ بشاهد	
INJ-0013	P0	نعم	مُغلقٌ بشاهد	tools/fix_inj_tests.php
INJ-0014	P1	نعم	مُغلقٌ بشاهد	
INJ-0015	P1	نعم	غيرُ مقيس	
INJ-0016	P1	نعم	مُغلقٌ بشاهد	
INJ-0017	P1	نعم	مُغلقٌ بشاهد	
INJ-0018	P1	نعم	غيرُ مقيس	
INJ-0019	P1	نعم	غيرُ مقيس	
INJ-0020	P1	نعم	غيرُ مقيس	
INJ-0021	P1	نعم	غيرُ مقيس	
INJ-0022	P1	نعم	مُغلقٌ بشاهد	
INJ-0023	P1	نعم	مُغلقٌ بشاهد	
INJ-0024	P1	نعم	مُغلقٌ بشاهد	
INJ-0025	P1	نعم	مُغلقٌ بشاهد	
INJ-0026	P1	نعم	مُغلقٌ بشاهد	
INJ-0027	P1	نعم	مُغلقٌ بشاهد	tests/credit_debit_note_test.php · tools/fix_inj0027_tests.php
INJ-0028	P1	نعم	غيرُ مقيس	
INJ-0029	P1	نعم	غيرُ مقيس	
INJ-0030	P1	نعم	مُغلقٌ بشاهد	
INJ-0031	P1	نعم	مُغلقٌ بشاهد	
INJ-0032	P1	نعم	مُغلقٌ بشاهد	tools/fix_u13_nav_tests.php
INJ-0033	P1	نعم	مُغلق	tests/source_of_truth_test.php
INJ-0034	P1	نعم	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0035	P1	نعم	مُغلقٌ بشاهد	tools/fix_covered_campaign.php
INJ-0036	P1	نعم	مُغلقٌ بشاهد	tools/fix_inj0036_tests.php
INJ-0037	P1	نعم	مُغلق	tests/entitlement_gate_queue_test.php
INJ-0038	P1	نعم	غيرُ مقيس	
INJ-0039	P1	نعم	مُغلقٌ بشاهد	tools/fix_covered_campaign.php
INJ-0040	P1	نعم	مُغلقٌ بشاهد	tools/fix_covered_campaign.php
INJ-0041	P1	نعم	مُغلقٌ بشاهد	tools/fix_covered_campaign.php
INJ-0042	P1	نعم	مُغلقٌ بشاهد	tools/fix_covered_campaign.php
INJ-0043	P1	نعم	غيرُ مقيس	
INJ-0044	P1	نعم	غيرُ مقيس	
INJ-0045	P1	نعم	مُغلق	tests/financing_pay_and_shares_test.php
INJ-0046	P1	نعم	مُغلق	tests/financing_pay_and_shares_test.php
INJ-0047	P1	نعم	غيرُ مقيس	
INJ-0048	P1	نعم	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0049	P1	نعم	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0050	P1	نعم	مُغلقٌ بشاهد	
INJ-0051	P1	نعم	غيرُ مقيس	
INJ-0052	P1	نعم	مُغلقٌ بشاهد	
INJ-0053	P1	نعم	مُغلقٌ بشاهد	
INJ-0054	P1	نعم	غيرُ مقيس	
INJ-0055	P1	نعم	غيرُ مقيس	
INJ-0056	P1	نعم	غيرُ مقيس	
INJ-0057	P1	نعم	مُغلقٌ بشاهد	
INJ-0058	P1	نعم	مُغلقٌ بشاهد	
INJ-0059	P1	نعم	مُغطًّى	
INJ-0060	P1	نعم	مُغلق	tests/deploy_seed_and_escalation_test.php
INJ-0061	P1	نعم	مُغلقٌ بشاهد	tools/fix_nav_href_probe.php
INJ-0062	P1	نعم	مُغطًّى	
INJ-0063	P1	نعم	مُغلقٌ بشاهد	
INJ-0064	P1	نعم	غيرُ مقيس	
INJ-0065	P1	نعم	مُغلقٌ بشاهد	
INJ-0066	P1	نعم	مُغلقٌ بشاهد	
INJ-0067	P1	نعم	مُغلقٌ بشاهد	tools/fix_covered_campaign.php
INJ-0068	P1	نعم	غيرُ مقيس	
INJ-0069	P1	نعم	غيرُ مقيس	
INJ-0070	P1	نعم	غيرُ مقيس	
INJ-0071	P1	نعم	غيرُ مقيس	
INJ-0072	P1	نعم	غيرُ مقيس	
INJ-0073	P1	نعم	غيرُ مقيس	
INJ-0074	P1	نعم	مُغلق	tests/source_of_truth_test.php
INJ-0075	P1	نعم	غيرُ مقيس	
INJ-0076	P1	نعم	مُغلقٌ بشاهد	
INJ-0077	P1	نعم	مُغلقٌ بشاهد	
INJ-0078	P1	نعم	غيرُ مقيس	
INJ-0079	P1	نعم	غيرُ مقيس	
INJ-0080	P1	نعم	غيرُ مقيس	
INJ-0081	P1	نعم	مُغلقٌ بشاهد	
INJ-0082	P1	نعم	مُغلقٌ بشاهد	
INJ-0083	P1	لا	غيرُ مقيس	
INJ-0084	P1	نعم	مُغلق	tests/transfer_cost_and_shares_test.php
INJ-0085	P1	نعم	غيرُ مقيس	
INJ-0086	P1	نعم	غيرُ مقيس	
INJ-0087	P1	نعم	مُغلقٌ بشاهد	
INJ-0088	P1	نعم	غيرُ مقيس	
INJ-0089	P1	نعم	مُغلقٌ بشاهد	
INJ-0090	P1	نعم	غيرُ مقيس	
INJ-0091	P1	نعم	مُغلقٌ بشاهد	
INJ-0092	P1	نعم	غيرُ مقيس	
INJ-0093	P1	نعم	غيرُ مقيس	
INJ-0094	P1	نعم	غيرُ مقيس	
INJ-0095	P1	نعم	غيرُ مقيس	
INJ-0096	P1	نعم	غيرُ مقيس	
INJ-0097	P1	نعم	غيرُ مقيس	
INJ-0098	P1	نعم	مُغلقٌ بشاهد	
INJ-0099	P1	نعم	مُغلقٌ بشاهد	tools/fix_covered_campaign.php
INJ-0100	P1	نعم	مُغلقٌ بشاهد	
INJ-0101	P1	نعم	مُغلقٌ بشاهد	
INJ-0102	P1	نعم	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0103	P1	نعم	مُغلقٌ بشاهد	
INJ-0104	P1	نعم	غيرُ مقيس	
INJ-0105	P1	نعم	غيرُ مقيس	
INJ-0106	P1	نعم	مُغلقٌ بشاهد	
INJ-0107	P1	نعم	مُغلقٌ بشاهد	
INJ-0108	P1	نعم	غيرُ مقيس	
INJ-0109	P1	نعم	مُغلق	tests/source_of_truth_test.php
INJ-0110	P1	نعم	مُغلقٌ بشاهد	
INJ-0111	P1	نعم	غيرُ مقيس	
INJ-0112	P1	نعم	مُغلقٌ بشاهد	
INJ-0113	P1	نعم	غيرُ مقيس	
INJ-0114	P1	نعم	مُغلقٌ بشاهد	
INJ-0115	P1	لا	غيرُ مقيس	
INJ-0116	P1	نعم	غيرُ مقيس	
INJ-0117	P2	نعم	غيرُ مقيس	
INJ-0118	P2	نعم	غيرُ مقيس	
INJ-0119	P2	نعم	غيرُ مقيس	
INJ-0120	P2	نعم	غيرُ مقيس	
INJ-0121	P2	لا	غيرُ مقيس	
INJ-0122	P2	نعم	غيرُ مقيس	
INJ-0123	P2	نعم	مُغلقٌ بشاهد	tests/dept_space_screens_test.php
INJ-0124	P2	نعم	مُغلقٌ بشاهد	
INJ-0125	P2	لا	غيرُ مقيس	
INJ-0126	P2	لا	غيرُ مقيس	
INJ-0127	P2	لا	مُغلقٌ بشاهد	
INJ-0128	P2	لا	مُغلقٌ بشاهد	tools/fix_od19_probe.php
INJ-0129	P2	لا	مُغلق	tests/screen_columns_declared_test.php
INJ-0130	P2	نعم	مُغلقٌ بشاهد	
INJ-0131	P2	لا	مُغلقٌ بشاهد	tools/fix_od19_probe.php
INJ-0132	P2	لا	مُغلقٌ بشاهد	
INJ-0133	P2	نعم	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0134	P2	نعم	مُغلقٌ بشاهد	tests/dept_space_screens_test.php
INJ-0135	P2	نعم	غيرُ مقيس	
INJ-0136	P2	لا	غيرُ مقيس	
INJ-0137	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0138	P2	لا	غيرُ مقيس	
INJ-0139	P2	لا	مُغلقٌ بشاهد	tests/operations_audit_trail_test.php
INJ-0140	P2	لا	مُغلق	tests/idempotency_and_race_test.php
INJ-0141	P2	لا	غيرُ مقيس	
INJ-0142	P2	نعم	مُغلقٌ بشاهد	
INJ-0143	P2	نعم	مُغلقٌ بشاهد	
INJ-0144	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0145	P2	لا	غيرُ مقيس	
INJ-0146	P2	لا	مُغلقٌ بشاهد	tests/contracts_tables_test.php
INJ-0147	P2	لا	غيرُ مقيس	
INJ-0148	P2	لا	غيرُ مقيس	
INJ-0149	P2	نعم	مُغلقٌ بشاهد	tests/regression_exit_contract_test.php
