الإدارة,الترتيب,المرحلة,المجموعة,الشاشة,"المستند الناتج","الدور المسؤول","الحالة التالية"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","مساحة عملي · main/my_workspace.php","— لا مصدر","— لا وحدة","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","طلب مالي جديد · FinRequests/request_form.php","— لا مصدر","ادارة الصيانة","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","تسجيل الوحدات · Timesheet/timesheet_type.php","— لا مصدر","إدارة الموقع (قديم — مدمج في 6)","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","سجل الكيانات · Governance/entities_registry.php","— لا مصدر","ادارة التشغيل","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","سجل الممولين · Financing/financiers_registry.php","— لا مصدر","ادارة التشغيل","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","التفويض بالتوقيع · Governance/signing_authority.php","— لا مصدر","ادارة التشغيل","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","إنشاء عملية تمويل · Financing/financing_operation_new.php","— لا مصدر","ادارة التشغيل","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","التراخيص والكفالات · Governance/licenses_guarantees.php","— لا مصدر","ادارة التشغيل","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","أنماط التفعيل · Governance/activation_patterns.php","— لا مصدر","ادارة التشغيل","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","منح المجال المقيَّد · Governance/ownership_grants.php","— لا مصدر","ادارة التشغيل","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","الموظفون · Employees/employees.php","— لا مصدر","ادارة الموارد البشرية","— لا مصدر"
"ادارة التشغيل",—,"(بلا مرحلة)","لوحة الإدارة","المعدات · Equipments/equipments_fleet.php","— لا مصدر","ادارة الاسطول","— لا مصدر"
"ادارة التشغيل",0.1.1,"لوحة الإدارة","مساحتي الشخصية","مهامي · Portal/my_tasks.php","requests · tasks · workflow  [nav09_map]","مساحة عملي  [إدارة]","الطلبُ يدخل صندوقَ اعتماد المعنيّ بمساره — ويظهر في «طلباتي» بحالته · المهمةُ تُقفل · والخطوةُ التاليةُ تُفتح لصاحبها · ومهلةُ المسار تُحدَّث · تُصيَّر المكوّناتُ التي منحته إياها الحوكمةُ وحدَها · ومشغّلُ المعدة يرى معدتَه ومشغّلَها الآخر · يُعاد الحسابُ  [nav09_map]"
