معرّفٌ ثابت	الوصف	الخطورة	الطبقةُ المتأثرة	المالك	سببُ المشكلة	الأثر	أيمنع الإطلاق	القرارُ المطلوب	المهلة	دليلُ الإصلاح	اختبارُ الإغلاق	تاريخُ الإغلاق	من راجع
DEF-001	أربعةُ رموزِ أفعالٍ تحمل معنيين — model.define و req.raise	حرجة	قاموسُ الأفعالِ والكود	مكتبُ الهندسة	الرمزُ القصيرُ بلا نطاقٍ يتصادم	حملةُ ربطِ الـ228 ستربط معنيين بمعالجٍ واحد	نعم	أيُعتمد نمطُ domain.resource.action للكلِّ أم للحاجبةِ وحدَها؟	قبل حملةِ الربط	الورقةُ 07 تُظهر صفرَ رمزٍ لأكثرَ من معنى	التدقيقُ العالميُّ يعيد صفرًا في الفحص الأول		
DEF-002	نواةُ التأجيرِ تُبنى خارجَ المعماريةِ الموثَّقة	حرجة	المعماريةُ ونظامُ الشاشات	الرئيسُ التنفيذي	جلسةٌ موازيةٌ بنت ثلاثَ شاشاتٍ خارج NAV-09	يكسر PR-01 مصدرَ الحقيقةِ الواحد · ولا نموذجَ رابعًا في E-09	نعم	أتُوثَّق نواةُ التأجيرِ في الحزمةِ أم تُعلَن خارجَ النطاق؟	عاجل	NAV-09 v5 يضمُّ شاشاتِها بمراحلها وأحكامها	صفرُ رابطٍ خارجَ الوثيقةِ في فاحص nav09_verify		
DEF-003	228 فعلًا من 242 معلَّقُ الربطِ بمعالجه الحي	عالية	طبقةُ الأفعال	مكتبُ الهندسة	القاموسُ استُورد كاملًا والربطُ في أوله	الأثرُ لا يُتتبَّع من الزرِّ إلى القيد	لا	لا يحتاج قرارًا — يحتاج حملةً بعد DEF-001	بعد DEF-001	nav09_action_map: live_code لكل رمز	صفرُ رمزٍ بحالة pending		
DEF-004	67 وجهةً بلا وحدةِ صلاحياتٍ مسجَّلة من 203	عالية	الصلاحياتُ والحوكمة	الحوكمةُ والالتزام	الشاشاتُ محميةٌ بحارسها وأرضيةِ الحوكمةِ بلا وحدةٍ مسجَّلة	تُحرَم من صفوف can_view/can_edit ومن شاشة الصلاحيات	لا	لا يحتاج قرارًا — تسجيلٌ إجرائي	قبل الإطلاق	modules: 203/203	صفرُ وجهةٍ بلا وحدة		
DEF-005	فاحصُ الحوكمةِ يغطي 194 شاشةً من 203	متوسطة	الحوكمةُ والالتزام	الحوكمةُ والالتزام	تسعُ شاشاتٍ خارجَ نطاق الفاحصِ بلا سببٍ معلَن	مخالفةُ أعمدةٍ حاكمةٍ قد تمرُّ غيرَ مكتشفة	لا	أالتسعُ مستثناةٌ بقصدٍ أم سقطت؟	قبل الإطلاق	cmp03_gov_check: 203/203 أو استثناءٌ معلَن	الفاحصُ يعلن نطاقَه صريحًا		
DEF-006	عدّادا تبنّي E-03 على 286 والشاشاتُ القانونيةُ 203	متوسطة	نظامُ الشاشات	مكتبُ الهندسة	مقامٌ مختلفٌ بلا تعريفٍ معلَن	النسبُ غيرُ قابلةٍ للمقارنةِ بأرقام NAV-09	لا	ما تعريفُ الـ286؟ أهي 203 + التأجيرُ + غيرُها؟	قبل التقرير القادم	تعريفٌ معلَنٌ للمقامِ في كل عدّاد	كلُّ نسبةٍ تذكر مقامَها ومصدرَه		
DEF-007	«الحالاتُ الخمسُ» بُنيت مركزيًّا — والنموذجُ المعتمدُ خمسةُ محاور	عالية	النظامُ التصميميُّ والشاشات	مكتبُ الهندسة	قائمةٌ واحدةٌ تخلط محاورَ مختلفةً بدل تركيبها	الشاشةُ ببياناتٍ وقراءةٍ فقط ودون اتصالٍ لا تُمثَّل بحالةٍ واحدة	لا	أتُعاد النمذجةُ إلى المحاور الخمسةِ بـCM-00؟	قبل تعميقِ التبنّي	CM-00 مبنيٌّ ويركّب المحاورَ الخمسة	اختبارُ تركيبةِ «بياناتٌ + قراءةٌ فقط + دون اتصال»		
DEF-008	ورقةُ الزائدِ 1261 صفًّا والمصنَّفُ 870	عالية	قاموسُ البياناتِ والأعمدة	مكتبُ الهندسة	نسخةُ الفريقِ أحدثُ من نسخةِ التصنيف	391 صفًّا بلا حكم	لا	لا يحتاج قرارًا — يحتاج ورقةَ مصالحة	عاجل	DEC-SCR-01 يُعاد تشغيلُه على 1261	صفرُ صفٍّ بلا حكمٍ من التسعة		
DEF-009	65 جدولًا قديمًا بلا عمود كيان	عالية	العزلُ وتعددُ الشركات	مكتبُ الهندسة	جداولُ سابقةٌ لمبدأ العزل	يخالف PR-02 — واستعلامٌ قد يتجاوز الكيان	نعم	أُقِرَّ: فاحصٌ يبلّغ لا هجرة — أيُرفع إلى هجرةٍ قبل الإطلاق؟	قبل GA	كلُّ جدولٍ يحمل عمودَ الكيانِ أو استثناءً معلَنًا	اختبارُ تسربٍ يفشل في كل المسارات		
DEF-010	5,986 تصادمًا تاريخيًّا يمنع قيدَ UNIQUE	عالية	دورةُ الوحدةِ والتايم شيت	الرئيسُ التنفيذي	بياناتٌ تاريخيةٌ بمعدةٍ وتاريخٍ ووردية مكررة	لا يمكن فرضُ التفردِ بلا معالجةِ القائم	نعم	أتُدمج التصادماتُ أم تُوسَم استثناءً تاريخيًّا؟	قبل GA	قيدُ UNIQUE مفعَّلٌ وصفرُ تصادمٍ جديد	محاولةُ إدخالٍ مكررٍ تُرفض		
