#	الشرط	الشاهد	الورقة	الحالة
1	الملفاتُ الحيةُ الثلاثةُ لم تُدمج	الورقةُ 01 تصنّفها «ملفٌّ حيّ» وتحتفظ بمسارها	01	محقَّق
2	كلُّ ملفٍّ ببصمةٍ وحالة	61 ملفًّا ببصمةِ MD5 وحجمٍ وتاريخٍ وحالة	01	محقَّق
3	كلُّ حكمٍ بمصدرِه ووجهتِه	الورقةُ 03 بأحدَ عشرَ عمودًا لكل حكم	03	محقَّق
4	مصفوفةُ النسخِ معلَنة	ثمانيةُ أزواجِ نسخٍ بأساسِ كلٍّ	04	محقَّق
5	التدقيقُ العالميُّ منفَّذ	ثمانيةُ فحوصٍ على 246 فعلًا	07	محقَّق — واثنان معلَّقان على الكود الحي
6	خطةُ ترحيلِ الرموزِ معرَّفة	ستُّ خطواتٍ ولا تغييرَ مباشرًا	08	محقَّق — لم تبدأ
7	سجلُّ العيوبِ بأربعةَ عشرَ حقلًا	اثنا عشرَ عيبًا مسجَّلًا بكل حقوله	09	محقَّق
8	قراراتُ المالكِ محصورة	ستةُ قراراتٍ بتوصيةٍ وأثرِ تأخيرٍ لكلٍّ	10	تنتظر الاعتماد
9	لوحةُ الاتساقِ محسوبة	صيغُ COUNTIF تقرأ من كل الأوراق	11	محقَّق
10	مسارُ التغييرِ معرَّف	ستُّ خطواتٍ لما بعد القطع	02	محقَّق
