id	doc	requirement	acceptance_test	state	witness
FIXA-0014-أ	FIXA	◆ العطلُ الجذري «RF-01	اختبارُ إغلاق: اختبارٌ بحسابٍ غيرِ مخوَّلٍ على شاشةٍ غيرِ مسجَّلةٍ يرجع 403 لا 200 — وسجلُّ الرفضِ يحمل الصف	غيرُ مقيس	
FIXA-0014-ب	FIXA	◆ الحارسُ المركزيُّ يفشل مفتوحًا» في includes/permissions_helper.php:803-818: الفرعُ الذي لا يجد صفًّا في modules يرجع كلَّ الصلاحياتِ true	اختبارُ إغلاق: اختبارٌ بحسابٍ غيرِ مخوَّلٍ على شاشةٍ غيرِ مسجَّلةٍ يرجع 403 لا 200 — وسجلُّ الرفضِ يحمل الصف	غيرُ مقيس	
FIXA-0014-ج	FIXA	و≈40 شاشةً حيةً تعمل به فعلًا · منها ملفُّ العميلِ وملفُّ الموردِ وملفُّ عمليةِ التمويل · وخطورتُه P0.	اختبارُ إغلاق: اختبارٌ بحسابٍ غيرِ مخوَّلٍ على شاشةٍ غيرِ مسجَّلةٍ يرجع 403 لا 200 — وسجلُّ الرفضِ يحمل الصف	غيرُ مقيس	
FIXA-0015-أ	FIXA	خطوةُ تصحيحِ «RF-01» رقم 1 — نطاقُ الحكم	اختبارُ خطوة: «استبدلْ فرعَ الغيابِ بمنعٍ كاملٍ لكلِّ الصلاحياتِ الخمس» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0015-ب	FIXA	استبدلْ فرعَ الغيابِ بمنعٍ كاملٍ لكلِّ الصلاحياتِ الخمس	اختبارُ خطوة: «استبدلْ فرعَ الغيابِ بمنعٍ كاملٍ لكلِّ الصلاحياتِ الخمس» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0016-أ	FIXA	خطوةُ تصحيحِ «RF-01» رقم 2 — نطاقُ الحكم	اختبارُ خطوة: «أضفْ سجلَّ رفضٍ يكتب اسمَ الشاشةِ والدورَ والوقتَ عند كلِّ إ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0016-ب	FIXA	أضفْ سجلَّ رفضٍ يكتب اسمَ الشاشةِ والدورَ والوقتَ عند كلِّ إخفاقٍ بالغياب	اختبارُ خطوة: «أضفْ سجلَّ رفضٍ يكتب اسمَ الشاشةِ والدورَ والوقتَ عند كلِّ إ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0017-أ	FIXA	خطوةُ تصحيحِ «RF-01» رقم 3 — نطاقُ الحكم	اختبارُ خطوة: «شغّلْ مسحًا يحصر الشاشاتِ الأربعينَ ويسجّلها في modules قبلَ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0017-ب	FIXA	شغّلْ مسحًا يحصر الشاشاتِ الأربعينَ ويسجّلها في modules قبلَ نشرِ الإصلاح	اختبارُ خطوة: «شغّلْ مسحًا يحصر الشاشاتِ الأربعينَ ويسجّلها في modules قبلَ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0018-أ	FIXA	خطوةُ تصحيحِ «RF-01» رقم 4 — نطاقُ الحكم	اختبارُ خطوة: «◆ ولا تنشرِ الإصلاحَ قبلَ التسجيلِ — فالمنعُ الفوريُّ يُعطّل» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0018-ب	FIXA	◆ ولا تنشرِ الإصلاحَ قبلَ التسجيلِ	اختبارُ خطوة: «◆ ولا تنشرِ الإصلاحَ قبلَ التسجيلِ — فالمنعُ الفوريُّ يُعطّل» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0018-ج	FIXA	فالمنعُ الفوريُّ يُعطّل أربعينَ شاشةً حية	اختبارُ خطوة: «◆ ولا تنشرِ الإصلاحَ قبلَ التسجيلِ — فالمنعُ الفوريُّ يُعطّل» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0019-أ	FIXA	خطوةُ تصحيحِ «RF-01» رقم 5 — نطاقُ الحكم	اختبارُ خطوة: «أضفْ فاحصًا يعدُّ الأسطحَ غيرَ المسجَّلةِ ويرسب فوقَ صفر» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0019-ب	FIXA	أضفْ فاحصًا يعدُّ الأسطحَ غيرَ المسجَّلةِ ويرسب فوقَ صفر	اختبارُ خطوة: «أضفْ فاحصًا يعدُّ الأسطحَ غيرَ المسجَّلةِ ويرسب فوقَ صفر» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0020-أ	FIXA	◆ العطلُ الجذري «RF-02	اختبارُ إغلاق: فاحصُ ترتيبٍ يثبت أن سطرَ الحارسِ يسبق أولَ كتابةٍ في مئةٍ بالمئةِ من الأسطح	غيرُ مقيس	
FIXA-0020-ب	FIXA	◆ الأثرُ يُرحَّل قبلَ وصولِ الحارس» في rfq_compare_award.php · wh_count.php · wh_transfer.php · transfer_close_cost.php: معالجاتُ الكتابةِ تقع في أسطرٍ تسبق include &apos;../insidebar.php&apos;	اختبارُ إغلاق: فاحصُ ترتيبٍ يثبت أن سطرَ الحارسِ يسبق أولَ كتابةٍ في مئةٍ بالمئةِ من الأسطح	غيرُ مقيس	
FIXA-0020-ج	FIXA	فيُنفَّذ الأثرُ ثم يُعاد توجيهُ المستخدمِ برسالةِ «لا صلاحية» · وخطورتُه P0.	اختبارُ إغلاق: فاحصُ ترتيبٍ يثبت أن سطرَ الحارسِ يسبق أولَ كتابةٍ في مئةٍ بالمئةِ من الأسطح	غيرُ مقيس	
FIXA-0021-أ	FIXA	خطوةُ تصحيحِ «RF-02» رقم 1 — نطاقُ الحكم	اختبارُ خطوة: «انقلْ حارسَ الشاشةِ وحارسَ الفعلِ إلى أعلى الملفِّ قبلَ أيِّ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0021-ب	FIXA	انقلْ حارسَ الشاشةِ وحارسَ الفعلِ إلى أعلى الملفِّ قبلَ أيِّ معالج	اختبارُ خطوة: «انقلْ حارسَ الشاشةِ وحارسَ الفعلِ إلى أعلى الملفِّ قبلَ أيِّ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0022-أ	FIXA	خطوةُ تصحيحِ «RF-02» رقم 2 — نطاقُ الحكم	اختبارُ خطوة: «◆ ولا تعتمدْ على insidebar في الحجبِ — فهو عرضٌ لا حارس» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0022-ب	FIXA	◆ ولا تعتمدْ على insidebar في الحجبِ — فهو عرضٌ لا حارس	اختبارُ خطوة: «◆ ولا تعتمدْ على insidebar في الحجبِ — فهو عرضٌ لا حارس» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0023-أ	FIXA	خطوةُ تصحيحِ «RF-02» رقم 3 — نطاقُ الحكم	اختبارُ خطوة: «افصلْ معالجَ POST في ملفٍّ أو دالةٍ تُنادى بعدَ الحرّاسِ صري» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0023-ب	FIXA	افصلْ معالجَ POST في ملفٍّ أو دالةٍ تُنادى بعدَ الحرّاسِ صريحًا	اختبارُ خطوة: «افصلْ معالجَ POST في ملفٍّ أو دالةٍ تُنادى بعدَ الحرّاسِ صري» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0024-أ	FIXA	خطوةُ تصحيحِ «RF-02» رقم 4 — نطاقُ الحكم	اختبارُ خطوة: «أضفْ فاحصًا يقارن رقمَ سطرِ أولِ كتابةٍ برقمِ سطرِ الحارسِ ف» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0024-ب	FIXA	أضفْ فاحصًا يقارن رقمَ سطرِ أولِ كتابةٍ برقمِ سطرِ الحارسِ في كلِّ ملفٍّ ويرسب إن سبقته	اختبارُ خطوة: «أضفْ فاحصًا يقارن رقمَ سطرِ أولِ كتابةٍ برقمِ سطرِ الحارسِ ف» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0025-أ	FIXA	خطوةُ تصحيحِ «RF-02» رقم 5 — نطاقُ الحكم	اختبارُ خطوة: «راجعِ الأربعةَ المرصودةَ أولًا ثم امسحِ الأسطحَ كلَّها بالفا» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0025-ب	FIXA	راجعِ الأربعةَ المرصودةَ أولًا ثم امسحِ الأسطحَ كلَّها بالفاحصِ نفسِه	اختبارُ خطوة: «راجعِ الأربعةَ المرصودةَ أولًا ثم امسحِ الأسطحَ كلَّها بالفا» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0026-أ	FIXA	◆ العطلُ الجذري «RF-03	اختبارُ إغلاق: ملفٌّ مصدَّرٌ بحسابٍ غيرِ مخوَّلٍ لا يحمل عمودًا حساسًا واحدًا — وسجلُّ التصديرِ يحمل التسعة	غيرُ مقيس	
FIXA-0026-ب	FIXA	◆ التصديرُ الموحَّدُ بلا طبقةِ صلاحيات» في excel.php:16 · excel.php:86-99: لا يحمّل permissions_helper فيسقط ExcelService::authorize في فرعِه المفتوح	اختبارُ إغلاق: ملفٌّ مصدَّرٌ بحسابٍ غيرِ مخوَّلٍ لا يحمل عمودًا حساسًا واحدًا — وسجلُّ التصديرِ يحمل التسعة	غيرُ مقيس	
FIXA-0026-ج	FIXA	والحقولُ الحساسةُ تُسجَّل ثم تُصدَّر كاملةً · وخطورتُه P0.	اختبارُ إغلاق: ملفٌّ مصدَّرٌ بحسابٍ غيرِ مخوَّلٍ لا يحمل عمودًا حساسًا واحدًا — وسجلُّ التصديرِ يحمل التسعة	غيرُ مقيس	
