canonical_code,screen,real_path,resolution,live_code,new_state,note
acc.define,"دليل الحسابات ومراكز التكلفة",Finance/management_accounting_fin.php,page,page:Finance/management_accounting_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
ach.range,إنجازي,Portal/my_achievement.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
act.upgrade,"أنماط تفعيل المزايا",Governance/activation_patterns.php,page,page:Governance/activation_patterns.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
adv.grant,"السلف والعهد المالية",Workforce/employee_advances.php,page,page:Workforce/employee_advances.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
approval.reject,"صندوق ما ينتظر اعتمادي",Finance/approvals_inbox.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
approval.return,"صندوق ما ينتظر اعتمادي",Finance/approvals_inbox.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
asg.issue,"التكليفات التنظيمية",admin/org_assignments.php,page,page:admin/org_assignments.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
asset.assign,"توزيع المعدات والمشغّلين",Operations/distribution_space.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
asset.create,"سجل المعدات",Equipments/equipments.php,page,page:Equipments/equipments.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
asset.dispose,"سجل المعدات",Equipments/equipments.php,page,page:Equipments/equipments.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
asset.link,"الأعيان المموَّلة",Equipments/fin_assets.php,page,page:Equipments/fin_assets.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
ast.assign,"المعاونون والنيابة المؤقتة",main/all_assistants.php,page,page:main/all_assistants.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
att.record,"الحضور والانصراف",Operations/attendance.php,page,page:Operations/attendance.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
audit.export,"سجل التدقيق والاطّلاع",ActivityLogs/activity_logs.php,page,page:ActivityLogs/activity_logs.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
audit.read,"سجل التدقيق والاطّلاع",ActivityLogs/activity_logs.php,page,page:ActivityLogs/activity_logs.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
bank.verify,"حسابات الموردين البنكية",Suppliers/supplier_bank.php,page,page:Suppliers/supplier_bank.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
