#	الرمزُ الحالي	الاسمُ المقترحُ domain.resource.action	الفعل	الإدارة	الشاشة	الفاعل	ما يُكتب	الحدث	المستهلك	الأثر	العكس	①معنًى	②alias	③مالك	④مصدر	⑤معالج	⑥عكسٌ ماليّ	⑦دائرية	⑧الكود	حاجب	حالةُ الربط
1	ticket.open	tickets.ticket.create	فتحُ بلاغ	مركز البلاغات	أبلغ عن مشكلة من هذه الشاشة	المستخدم	tickets · ticket_context	TicketOpened	مركزُ البلاغات · الإدارةُ المختصة	تذكرةٌ مصنَّفةٌ موجَّهةٌ آليًّا · ومهلةٌ تبدأ · وسياقُ الشاشة محفوظ	إغلاقٌ إداريٌّ بمرجع	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
2	ticket.ack	tickets.ticket.receive	استلامُ البلاغ	مركز البلاغات	بلاغات إدارتي	المكلَّف	tickets.state · sla	TicketAcknowledged	مركزُ البلاغات	مهلةُ الاستجابة تتوقف · ومهلةُ الإنجاز تبدأ · والمكلَّفُ مسؤولٌ باسمه	إعادةُ توجيهٍ بسبب	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
3	ticket.done	tickets.ticket.execute_done	إنجازُ البلاغ	مركز البلاغات	بلاغات إدارتي	المكلَّف	tickets.state · resolution	TicketResolved	المبلِّغُ · المركز	ينتظر تأكيدَ المبلِّغ — ولا يُغلق المكلَّفُ بنفسه	إعادةُ فتحٍ بعدّاد	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
4	approval.grant	governance.approval.approve	اعتمادٌ في سقفي	الحوكمة والالتزام	صندوق ما ينتظر اعتمادي	المعتمِد	approvals · audit	ApprovalGranted	الحلقةُ التالية	المستندُ ينتقل · والتوقيعُ يُسجَّل بمرجع التفويض	سحبٌ بقرارٍ موثَّق	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
5	approval.reject	governance.approval.execute_reject	رفضٌ بسببٍ محكوم	الحوكمة والالتزام	صندوق ما ينتظر اعتمادي	المعتمِد	approvals · reasons	ApprovalRejected	المُنشئ · المسار	المستندُ يعود لمُنشئه بسببٍ من قائمةٍ محكومة — ويُقاس السببُ في تحليل الاختناقات	إعادةُ رفعٍ بعد التصحيح	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
6	approval.return	governance.approval.execute_return	إعادةٌ للتصحيح	الحوكمة والالتزام	صندوق ما ينتظر اعتمادي	المعتمِد	approvals	ApprovalReturned	المُنشئ	المستندُ يعود قابلًا للتعديل · والمهلةُ تتوقف حتى إعادة الرفع	◆ بلا عكس	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
7	ach.range	workspace.achievement.execute	اختيارُ مدى الإنجاز	مساحة عملي	إنجازي	المستخدم	—	—	—	يُعاد الحسابُ للمدى: يومًا أو أسبوعًا أو شهرًا أو سنةً أو بتاريخين	◆ بلا عكس	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
8	plan.submit	site.plan.submit	رفعُ خطة الغد	إدارة الموقع	خطة عمل الغد	مديرُ الموقع	daily_plans · resource_locks	PlanSubmitted	التشغيل · القوى · الأسطول	الحارسُ يفحص التأهيلَ والجاهزيةَ والوثائق · والمواردُ تُحجز مبدئيًّا	سحبٌ قبل الاعتماد	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
9	plan.approve	site.plan.approve	اعتمادُ خطة الموقع	إدارة الموقع	خطة عمل الغد	مديرُ التشغيل	daily_plans.state	PlanApproved	الموقع · القوى · الأسطول · النقل	الخطةُ تصير نافذةً · ويُفتح التايم شيت عليها · وتُطلب رحلاتُ الترحيل الناقصة	إعادةٌ بسببٍ محكوم	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
10	plan.copy	site.plan.execute	نسخُ خطة الأمس	إدارة الموقع	خطة عمل الغد	مديرُ الموقع	daily_plans	PlanDrafted	الموقعُ وحدَه	مسودةٌ بالتوزيع نفسِه — والحارسُ يعيد فحصَ الجاهزية والتأهيل قبل الرفع	حذفُ المسودة	✔	✔	✔	✔	◐ معلَّقُ الربطِ معلَنٌ	✔	✔	◐ يحتاج مقارنةً بالكود الحيّ	لا	معلَّقُ الربطِ — 228 من 242
